num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,utilitarian_value,egalitarian_value,egalitarian_utilitarian_ratio,max_envy,mean_envy,max_deficit,mean_deficit,runtime
25,250,0.0,iterated_maximum_matching_unadjusted,0,5.222473533537983,4.8,0.91910470568689,0.0,0.0,0.0,0.0,1.6362399000208825
25,250,0.0,iterated_maximum_matching_unadjusted,1,5.236336456565655,4.909819639278557,0.937644034145726,0.0,0.0,0.0,0.0,1.857518200064078
25,250,0.0,iterated_maximum_matching_unadjusted,2,5.217017664375477,4.856293359762141,0.930856223264002,0.0,0.0,0.0,0.0,1.6389720999868589
25,250,0.0,iterated_maximum_matching_unadjusted,3,5.193952248721882,4.9603174603174605,0.9550179175286192,0.0,0.0,0.0,0.0,1.5990818000864238
25,250,0.0,iterated_maximum_matching_unadjusted,4,5.220315028319161,4.9,0.9386406708059732,0.0,0.0,0.0,0.0,1.5732959000160918
25,250,0.0,iterated_maximum_matching_adjusted,0,5.222473533537983,4.8,0.91910470568689,0.0,0.0,0.0,0.0,1.6688040000153703
25,250,0.0,iterated_maximum_matching_adjusted,1,5.236336456565655,4.909819639278557,0.937644034145726,0.0,0.0,0.0,0.0,1.77760719996877
25,250,0.0,iterated_maximum_matching_adjusted,2,5.217017664375477,4.856293359762141,0.930856223264002,0.0,0.0,0.0,0.0,1.6680799000896511
25,250,0.0,iterated_maximum_matching_adjusted,3,5.193952248721882,4.9603174603174605,0.9550179175286192,0.0,0.0,0.0,0.0,1.6901438001077622
25,250,0.0,iterated_maximum_matching_adjusted,4,5.220315028319161,4.9,0.9386406708059732,0.0,0.0,0.0,0.0,1.62278299999889
25,250,0.0,round_robin,0,5.130604005885017,4.590818363273453,0.8947910144707314,0.100502512562814,0.0120041324386403,0.0,0.0,0.0296594999963417
25,250,0.0,round_robin,1,5.152135838226619,4.604604604604605,0.893727329632971,0.2002002002002001,0.0120160240400721,0.0,0.0,0.0296191999223083
25,250,0.0,round_robin,2,5.145124820014911,4.48654037886341,0.8719983549107381,0.1994017946161514,0.0159720917567139,0.0,0.0,0.0298601000104099
25,250,0.0,round_robin,3,5.141816709300347,4.613841524573721,0.8973173851623996,0.0998003992015972,0.0079642106056011,0.0,0.0,0.0293394000036641
25,250,0.0,round_robin,4,5.148212951328395,4.613841524573721,0.8962025402199438,0.1001001001001,0.008004004004004,0.0,0.0,0.03178930003196
